"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/helm_rome_gold";"Gladiator helmet (Gold)";"Casque de Gladiateur (Or)";"Elmo da Gladiatore (Oro)";"Galdiatorhelm (Gold)";"Casco de gladiador (Oro)";"Гладиаторский шлем (Золотой)";"Hełm gladiatora (złoty)";"Gladiátorská helma (Zlatá)";"Gladyatör kaskı (Altın)";"角\t斗\t士\t头\t盔\t（金\t色）";"剣闘士の\t兜 (金)";"Elmo de gladiador (Ouro)";"Гладіаторський шолом (Золотий)";"Gladiator helmet (Gold)";"Arany gladiátorsisak";"검투사 헬멧 (황금)";"Гладиаторский шлем (Золотой)";"Coif gladiator (Aur)";"角\t斗\t士\t頭\t盔\t（金\t色）";"角\t斗\t士\t头\t盔\t（金\t色）";"Nón vi đấu sĩ (Vàng)";;
"attachables/helm_rome_silver";"Gladiator helmet (Silver)";"Casque de Gladiateur (Argent)";"Elmo da Gladiatore (Argento)";"Galdiatorhelm (Silber)";"Casco de gladiador (Plata)";"Гладиаторский шлем (Серебряный)";"Hełm gladiatora (srebrny)";"Gladiátorská helma (Stříbrná)";"Gladyatör kaskı (Gümüş)";"角\t斗\t士\t头\t盔\t（银\t色）";"剣闘士の\t兜 (銀)";"Elmo de gladiador (Prateado)";"Гладіаторський шолом (Срібний)";"Gladiator helmet (Silver)";"Ezüst gladiátorsisak";"검투사 헬멧 (은)";"Гладиаторский шлем (Серебряный)";"Coif gladiator (Argint)";"角\t斗\t士\t頭\t盔\t（銀\t色）";"角\t斗\t士\t头\t盔\t（银\t色）";"Nón vi đấu sĩ (Bạc)";;
"attachables/helm_rome_black";"Gladiator helmet";"Casque de Gladiateur";"Elmo da Gladiatore";"Galdiatorhelm";"Casco de gladiador";"Гладиаторский шлем";"Hełm gladiatora";"Gladiátorská helma";"Gladyatör kaskı";"角\t斗\t士\t头\t盔";"剣闘士の\t兜";"Elmo de gladiador";"Гладіаторський шолом";"Gladiator helmet";"Gladiátorsisak";"검투사 헬멧";"Гладиаторский шлем";"Coif gladiator";"角\t斗\t士\t頭\t盔";"角\t斗\t士\t头\t盔";"Nón vi đấu sĩ";;
"attachables/ussr_body_armor_6b43";"Assault body armor (Russia)";"Gilet pare-balles d'assaut (Russie)";"Giubbotto d'assalto (Russia)";"Sturm-Körperpanzer (Russland)";"Chaleco táctico de asalto (Rusia)";"Штурмовой бронежилет (РФ)";"Pancerz szturmowy (Rosja)";"Útočná neprůstřelná vesta (Rusko)";"Taarruz gövde zırhı (Rusya)";"俄\t罗\t斯\t陆\t军 6B43 防\t弹\t衣";"アサルトボディアーマー (ロシア)";"Armadura de combate (Rússia)";"Штурмовий бронежилет (РФ)";"Assault body armor (Russia)";"Orosz rohamtestpáncél";"돌격방탄복 (러시아)";"Штурмовой бронежилет (РФ)";"Armură de corp de asalt (Rusia)";"俄\t羅\t斯\t陸\t軍 6B43 防\t彈\t衣";" 6B43 防\t弹\t衣";"Giáp chống đạn (Nga)";;
"attachables/ussr_body_armor_6b43/desc";"""Ammunition"" collection";"Collection ""Munitions""";"Collezione ""Munizioni""";"""Ausrüstung"" Sammlung";"Colección ""Municiones""";"Коллекция ""Амуниция""";"Kolekcja „Amunicja”";"kolekce ""Munice""";"""Mühimmat"" koleksiyonu";"“单\t兵\t装\t备”\t套\t装";"「弾薬」\tコレクション";"Coleção: ""Munições""";"Колекція ""Амуніція""";"""Ammunition"" collection";"Hadifelszerelés gyűjtemény része.";"""군장"" 컬렉션";"Коллекция ""Амуниция""";"""Ammunition"" collection";"“單\t兵\t裝\t備”\t套\t裝";"""Ammunition"" collection";"Bộ sưu tập ""Đạn dược""";;
"attachables/ussr_ammunition_wwii";"Ammunition of the Soviet Army, 1941";"Paquetage militaire de l'Armée Soviétique, 1941";"Munizioni dell'Esercito Sovietico, 1941";"Ausrüstung der Sowjetarmee, 1941";"Municiones del Ejército Soviético, 1941";"Амуниция красноармейца обр. 1941 года (СССР)";"Amunicja Armii Czerwonej, 1941";"Munice sovětské armády, 1941";"SSCB Ordusu'nun mühimmatı, 1941";"苏\t联\t红\t军\t单\t兵\t携\t行\t具\t（1941 年）";"ソ\t連軍の\t弾薬、\t1941";"Equipamento do Exército Soviético, 1941";"Амуніція червоноармійця зразка 1941 року (СРСР)";"Ammunition of the Soviet Army, 1941";"Szovjet felszerelés (1941)";"소련 육군 군장, 1941";"Амуниция красноармейца обр. 1941 года (СССР)";"Muniția armatei URSS - 1941";"蘇\t聯\t紅\t軍\t單\t兵\t攜\t行\t具\t（1941 年）";"单\t兵\t携\t行\t具\t（1941 年）";"Đạn dược của Quân đội Liên Xô, 1941";;
"attachables/ussr_ammunition_wwii/desc";"""Ammunition"" collection";"Collection ""Munitions""";"Collezione ""Munizioni""";"""Ausrüstung"" Sammlung";"Colección ""Municiones""";"Коллекция ""Амуниция""";"Kolekcja „Amunicja”";"kolekce ""Munice""";"""Mühimmat"" koleksiyonu";"“单\t兵\t装\t备”\t套\t装";"「弾薬」\tコレクション";"Coleção ""Munições""";"Колекція ""Амуніція""";"""Ammunition"" collection";"Hadifelszerelés gyűjtemény része.";"""군장"" 컬렉션";"Коллекция ""Амуниция""";"""Ammunition"" collection";"“單\t兵\t裝\t備”\t套\t裝";"""Ammunition"" collection";"Bộ sưu tập ""Đạn dược""";;
"attachables/ger_ammunition_wwii";"Wehrmacht ammunition (Germany)";"Paquetage militaire de la Wehrmacht (Allemagne)";"Munizioni della Wehrmacht (Germania)";"Wehrmachtsausrüstung (Deutschland)";"Municiones de la Wehrmacht (Alemania)";"Амуниция вермахта (Германия)";"Amunicja (Niemcy)";"Munice wehrmachtu (Německo)";"Wehrmacht mühimmatı (Almanya)";"德\t国\t国\t防\t军\t单\t兵\t携\t行\t具";"ドイツ\t国防軍の\t弾薬 (ドイツ)";"Equipamento da Wehrmacht (Alemanha)";"Амуніція вермахту (Німеччина)";"Wehrmacht ammunition (Germany)";"Wehrmacht felszerelés (Németország)";"독일 국방군 군장 (독일)";"Амуніцыя вермахта (Нямеччына)";"Muniție Wehrmacht (Germania)";"德\t國\t國\t防\t軍\t單\t兵\t攜\t行\t具";"单\t兵\t携\t行\t具";"Đạn dược của Wehrmacht (Đức)";;
"attachables/ger_ammunition_wwii/desc";"""Ammunition"" collection";"Collection ""Munitions""";"Collezione ""Munizioni""";"""Ausrüstung"" Sammlung";"Colección ""Municiones""";"Коллекция ""Амуниция""";"Kolekcja „Amunicja”";"kolekce ""Munice""";"""Mühimmat"" koleksiyonu";"“单\t兵\t装\t备”\t套\t装";"「弾薬」\tコレクション";"Coleção ""Munições""";"Колекція ""Амуніція""";"""Ammunition"" collection";"Hadifelszerelés gyűjtemény része.";"""군장"" 컬렉션";"Коллекция ""Амуниция""";"""Ammunition"" collection";"“單\t兵\t裝\t備”\t套\t裝";"""Ammunition"" collection";"Bộ sưu tập ""Đạn dược""";;
"attachables/usa_ciras_land";"Force recon vest (USA)";"Gilet de combat Recon (USA)";"Giubbotto FORECON (USA)";"Truppen-Aufklärungsweste (SUA)";"Chaleco Force Recon Vest (EE.UU.)";"Разгрузочная система (США)";"Kamizelka taktyczna (USA)";"Průzkumná neprůstřelná vesta (USA)";"Keşif ekibi yeleği (ABD)";"美\t国\t海\t军\t陆\t战\t侦\t察\t队 CIRAS 陆\t上\t型\t背\t心";"武装偵察部隊の\tベスト (アメリカ)";"Colete tático (EUA)";"Розвантажувальна система (США)";"Force recon vest (USA)";"FORECON mellény (USA)";"해병수색대 조끼 (미국)";"Разгрузочная система (США)";"Vestă forțele de recunoaștere (SUA)";"美\t國\t海\t軍\t陸\t戰\t偵\t察\t隊 CIRAS 陸\t上\t型\t背\t心";"海\t军\t陆\t战\t侦\t察\t队 CIRAS 陆\t上\t型\t背\t心";"Giáp chống đạn FORECON (Mỹ)";;
"attachables/usa_ciras_land/desc";"""Ammunition"" collection";"Collection ""Munitions""";"Collezione ""Munizioni""";"""Ausrüstung"" Sammlung";"Colección ""Municiones""";"Коллекция ""Амуниция""";"Kolekcja „Amunicja”";"kolekce ""Munice""";"""Mühimmat"" koleksiyonu";"“单\t兵\t装\t备”\t套\t装";"「弾薬」\tコレクション";"Coleção ""Munições""";"Колекція ""Амуніція""";"""Ammunition"" collection";"Hadifelszerelés gyűjtemény része.";"""군장"" 컬렉션";"Коллекция ""Амуниция""";"""Ammunition"" collection";"“單\t兵\t裝\t備”\t套\t裝";"""Ammunition"" collection";"Bộ sưu tập ""Đạn dược""";;
"attachables/iotv_body_armor";"Assault body armor (USA)";"Gilet pare-balles d'assaut (USA)";"Corazza d'assalto (USA)";"Sturm-Körperpanzer (USA)";"Chaleco táctico de asalto (EE.UU)";"Штурмовой бронежилет (США)";"Pancerz szturmowy (USA)";"Útočná neprůstřelná vesta (USA)";"Taarruz gövde zırhı (ABD)";"美\t国\t陆\t军\t改\t进\t型\t外\t部\t战\t术\t背\t心\t（IOTV）";"アサルトボディアーマー (アメリカ)";"Armadura de combate (Rússia)";"Штурмової бронежилет (США)";"Assault body armor (USA)";"Amerikai rohamtestpáncél";"돌격 방탄복 (미국)";"Штурмовой бронежилет (США)";"Assault body armor (USA)";"美\t國\t陸\t軍\t改\t進\t型\t外\t部\t戰\t術\t背\t心\t（IOTV）";"Assault body armor (USA)";"Giáp chống đạn (Mỹ)";;
"attachables/iotv_body_armor/desc";"""Ammunition"" collection";"Collection ""Munitions""";"Collezione ""Munizioni""";"""Ausrüstung"" Sammlung";"Colección ""Municiones""";"Коллекция ""Амуниция""";"Kolekcja „Amunicja”";"kolekce ""Munice""";"""Mühimmat"" koleksiyonu";"“单\t兵\t装\t备”\t套\t装";"「弾薬」\tコレクション";"Coleção ""Munições""";"Колекція ""Амуніція""";"""Ammunition"" collection";"Hadifelszerelés gyűjtemény része.";"""군장"" 컬렉션";"Коллекция ""Амуниция""";"""Ammunition"" collection";"“單\t兵\t裝\t備”\t套\t裝";"""Ammunition"" collection";"Bộ sưu tập ""Đạn dược""";;
"attachables/sweden_ak5d";"Assault rifle (Sweden)";"Fusil d'assaut (Suède)";"Fucile d'assalto (Svezia)";"Sturmgewehr (Schweden)";"Fusil de asalto (Suecia)";"Штурмовая винтовка (Швеция)";"Karabin szturmowy (Szwecja)";"Útočná puška (Švédsko)";"Taarruz tüfeği (İsveç)";"瑞\t典\t突\t击\t步\t枪";"アサルトライフル (スウェーデン)";"Espingarda de Assalto (Suécia)";"Штурмова гвинтівка (Швеція)";"Assault rifle (Sweden)";"Svéd gépkarabély";"돌격 소총 (스웨덴)";"Штурмовая винтовка (Швеция)";"Assault rifle (Sweden)";"瑞\t典\t突\t擊\t步\t槍\t（Ak 5D）";"突\t击\t步\t枪 (SW)";"Súng trường tấn công (Thụy Điển)";;
"attachables/cn_qbz_95";"Assault rifle (China)";"Fusil d'assaut (Chine)";"Fucile d'assalto (Cina)";"Sturmgewehr (China)";"Fusil de asalto (China)";"Штурмовая винтовка (Китай)";"Karabin szturmowy (Chiny)";"Útočná puška (Čína)";"Taarruz tüfeği (Çin)";"中\t国\t突\t击\t步\t枪";"アサルトライフル (中国)";"Espingarda de Assalto (China)";"Штурмова гвинтівка (Китай)";"Assault rifle (China)";"Kínai gépkarabély";"돌격 소총 (중국)";"Штурмовая винтовка (Китай)";"Assault rifle (China)";"中\t國\t突\t擊\t步\t槍\t（QBZ95）";"突\t击\t步\t枪 (C)";"Súng trường tấn công (Trung Quốc)";;
"attachables/sweden_carl_gustaf_m45";"Carl Gustaf M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"Karl Gustaf M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"卡\t尔·古\t斯\t塔\t夫 m/45 冲\t锋\t枪";"カールグスタフ M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"칼 구스타프 M/45";"Carl Gustaf M/45";"Carl Gustaf M/45";"卡\t爾·古\t斯\t塔\t夫 m/45 衝\t鋒\t槍";"卡\t尔·古\t斯\t塔\t夫 m/45 冲\t锋\t枪";"Carl Gustaf M/45";;
"attachables/sweden_gevar_m38";"Gevär М-38";"Gevär m/38";"Gevär М-38";"Gevär М-38";"Gevär М-38";"Gevär М-38";"Gevär М-38";"Gevär М-38";"Gevär М-38";"m/38 步\t枪";"Gevär М-38";"Gevär М-38";"Gevär М-38";"Gevär М-38";"Gevär М-38";"М-38 소총";"Gevär М-38";"Gevär М-38";"m/38 步\t槍";"m/38 步\t枪";"Gevär М-38";;
"attachables/sweden_kg_m40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"m/40 轻\t机\t枪";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"Kg. m/40";"m/40 輕\t機\t槍";"m/40 轻\t机\t枪";"Kg. m/40";;
"attachables/sweden_kg_m40/desc";"""Machineguns"" collection";"Collection ""Mitrailleuses""";"Collezione ""Mitragliatrici""";"""Maschinengewehr"" Sammlung";"Colección ""Ametralladoras""";"Коллекция ""Пулеметы""";"Kolekcja „Karabiny maszynowe”";"kolekce ""Kulomety""";"""Makineli tüfek"" koleksiyonu";"“机\t枪”\t套\t装";"「機関銃」\tコレクション";"Coleção ""Metralhadoras""";"Колекція ""Кулемети""";"""Machineguns"" collection";"Géppuskák gyűjtemény része.";"""기관총"" 컬렉션";"Коллекция ""Пулеметы""";"""Machineguns"" collection";"“機\t槍”\t套\t裝";"“机\t枪”\t装\t饰\t品";"Bộ sưu tập ""Súng máy""";;
"attachables/cn_type_63_ar";"Type 63";"Type 63";"Tipo 63";"Type 63";"Tipo 63";"Type 63";"Typ 63";"Typ 63";"Tip 63";"63 式\t自\t动\t步\t枪";"63式";"Type 63";"Type 63";"Type 63";"63-as típus";"63식";"Type 63";"Type 63";"63 式\t自\t動\t步\t槍";"63 式\t自\t动\t步\t枪";"Type 63";;
"attachables/teddy_bear_valentine";"Teddy Bear with heart";"Ours en peluche avec coeur";"Orsetto con cuore";"Teddybär mit Herz";"Osito de Peluche con corazón";"Медведь с сердцем";"Pluszowy miś z serduszkiem";"Plyšový medvídek se srdcem";"Kalpli bir Ayıcık";"爱\t心\t泰\t迪\t熊";"ハート\t付き\tテディベア";"Urso de pelúcia com coração";"Ведмідь з серцем";"Teddy Bear with heart";"Plüssmackó szívvel";"사랑의 테디베어";"Медведь с сердцем";"Teddy Bear with heart";"愛\t心\t泰\t迪\t熊";"爱\t心\t泰\t迪\t熊";"Gấu bông với trái tim";;
"attachables/toilet_paper_roll_pack";"Scarce goods";"Marchandises rares";"Risorsa Scarsa";"Seltene Güter";"Bienes escasos";"Дефицитный товар";"Towar deficytowy";"Nedostatkové zboží";"Sınırlı malzemeler";"珍\t稀\t物\t资";"希少品";"Suprimentos escassos";"Дефіцитний товар";"Scarce goods";"Hiánycikk";"희귀 물자";"Дефицитный товар";"Scarce goods";"珍\t稀\t物\t資";"珍\t稀\t物\t资";"Hàng khan hiếm";;
"attachables/helmet_afv_crewman";"A.F.V. Crewman Helmet (Sweden)";"Casque de membre d'équipage A.F.V. (Suède)";"Elmetto da Carrista (Svezia)";"A.F.V. Besatzungsmitglied Helm (Schweden)";"Casco de Tripulante A.F.V. (Suecia)";"Танковый шлем A.F.V. (Швеция)";"Hełm załoganta BWP (Szwecja)";"helma vojáka A.F.V. (Švédsko)";"A.F.V. Mürettebat Miğferi (İsveç)";"瑞\t典\t装\t甲\t兵\t头\t盔";"A.F.V. クルーマン・ヘルメット (スウェーデン)";"Capacete de tripulação A.F.V. (Suécia)";"Танковий шолом A.F.V. (Швеція)";"A.F.V. Crewman Helmet (Sweden)";"Svéd A.F.V. legénységi sisak";"A.F.V. 승무원 헬멧 (스웨덴)";"Танковый шлем A.F.V. (Швеция)";"A.F.V. Crewman Helmet (Sweden)";"瑞\t典\t裝\t甲\t兵\t頭\t盔";"装\t甲\t兵\t头\t盔";"Nón kíp lái A.F.V. (Thụy Điển)";;
"attachables/helmet_chinese_summer";"Intercom headset (China)";"Casque Intercom (Chine)";"Cuffia Interfono (Cina)";"Interkom-Headset (China)";"Casco intercomunicador (China)";"Шлемофон (Китай)";"Hełmofon (Chiny)";"Komunikační sada (Čína)";"Dahili iletişim başlığı (Çin)";"中\t国\t坦\t克\t帽\t（含\t通\t信\t系\t统）";"インターコム・ヘッドセット (中国)";"Headset intercomunicador (China)";"Шоломофон (Китай)";"Intercom headset (China)";"Kínai fejbeszélő";"인터컴 헤드셋 (중국)";"Шлемофон (Китай)";"Intercom headset (China)";"中\t國\t坦\t克\t帽\t（含\t通\t信\t系\t統）";"C\t系\t坦\t克\t帽\t（含\t通\t信\t系\t统）";"Tai nghe liên lạc nội bộ (Trung Quốc)";;
"attachables/dartboard";"180!";"180!";"180!";"180!";"¡180!";"180!";"180!";"180!";"180!";"180 分！";"180!";"180!";"180!";"180!";"180!";"180!";"180!";"180!";"180 分！";"180!";"180!";;
"attachables/violet_chest";"Secret chest";"Coffre secret";"Scatola segreta";"Schatztruhe";"Cofre secreto";"Секретный сундук";"Tajemnicza skrzynia";"Tajná bedna";"Gizli Sandık";"神\t秘\t宝\t箱";"シークレット・チェスト";"Baú secreto";"Секретна скриня";"Secret chest";"Titkos láda";"비밀 상자";"Секретный сундук";"Secret chest";"神\t秘\t寶\t箱";"神\t秘\t宝\t箱";"Rương bí mật";;
"attachables/galil_arm";"Assault rifle (Israel)";"Galil ARM (Israël)";"Fucile d'assalto (Israele)";"Sturmgewehr (Israel)";"Fusil de asalto (Israel)";"Автоматическая винтовка (Израиль)";"Karabin szturmowy (Izrael)";"Útočná puška (Izrael)";"Taarruz tüfeği (İsrail)";"以\t色\t列\t突\t击\t步\t枪";"アサルトライフル (イスラエル)";"Espingarda de Assalto (Israel)";"Автоматична гвинтівка (Ізраїль)";"Assault rifle (Israel)";"Izraeli gépkarabély";"돌격 소총 (이스라엘)";"Аўтаматычная вінтоўка (Ізраіль)";"Assault rifle (Israel)";"以\t色\t列\t突\t擊\t步\t槍\t（加\t利\t爾）";"突\t击\t步\t枪 (I)";"Súng trường tấn công (Israel)";;
"attachables/hk_psg1";"Semi-automatic sniper rifle (Germany)";"HK PSG1 (Allemagne)";"Fucile da cecchino semi-automatico (Germania)";"HK PSG1 (Bundesrepublik Deutschland)";"Rifle de francotirador semiautomático (Alemania)";"Снайперская винтовка (Германия)";"Niemiecki samopowtarzalny karabin wyborowy";"Poloautomatická ostřelovací puška (Německo)";"Yarı otomatik nişancı tüfeği (Almanya)";"德\t国\t半\t自\t动\t狙\t击\t步\t枪\t（PSG1）";"セミオートマチック・スナイパーライフル (ドイツ)";"Fuzil de precisão semiautomático (Alemanha)";"Снайперська гвинтівка (Німеччина)";"Semi-automatic sniper rifle (Germany)";"Német félautomata mesterlövész puska";"반자동 스나이퍼 소총 (독일)";"Снайперская вінтоўка (Нямеччына)";"Semi-automatic sniper rifle (Germany)";"德\t國\t半\t自\t動\t狙\t擊\t步\t槍\t（PSG1）";"德\t国\t半\t自\t动\t狙\t击\t步\t枪\t（PSG1）";"Súng bắn tỉa bán tự động (Đức)";;
"attachables/m249";"Light machine gun (USA)";"Mitrailleuse légère (USA)";"Mitragliatrice Leggera (USA)";"Leichtes Maschinengewehr (USA)";"Ametralladora ligera (EE.UU.)";"Единый пулемёт (США)";"Amerykański LKM";"Lehký kulomet (USA)";"Hafif makineli tüfek (ABD)";"美\t国\t轻\t机\t枪";"軽機関銃 (アメリカ)";"Metralhadora leve (EUA)";"Легкий кулемет (США)";"Light machine gun (USA)";"Amerikai könnyűgéppuska";"경기관총 (미국)";"Единый пулемёт (США)";"Light machine gun (USA)";"美\t國\t輕\t機\t槍\t（M249）";"轻\t机\t枪\t（A\t系）";"Súng trung liên (Mỹ)";;
"attachables/m249/desc";"""Machineguns"" collection";"Collection ""Mitrailleuses""";"Collezione ""Mitragliatrici""";"""Maschinengewehr"" Sammlung";"Colección ""Ametralladoras""";"Коллекция ""Пулеметы""";"Kolekcja „Karabiny maszynowe”";"kolekce ""Kulomety""";"""Makineli tüfek"" koleksiyonu";"“机\t枪”\t套\t装";"「機関銃」\tコレクション";"Coleção ""Metralhadoras""";"Колекція ""Кулемети""";"""Machineguns"" collection";"Géppuskák gyűjtemény része.";"""기관총"" 컬렉션";"Коллекция ""Пулеметы""";"""Machineguns"" collection";"“機\t槍”\t套\t裝";"“机\t枪”\t装\t饰\t品";"Bộ sưu tập ""Súng máy""";;
